id,context,utterance,implicature,implicature2
3973,Has your move been easy?,I hired a great company.,1,Yes
3975,Do you have a full time job?,I'm starting new position in May.,1,Yes
3977,Does your new apartment have a good view?,it definitely has,1,Yes
3978,Are you a Stephen King fan?,I'm really not,0,No
3979,Do you want to catch up over breakfast?,That sounds great.,1,Yes
3980,Are you working in an office?,I work on a rooftop.,0,No
3981,Have you found a good realtor?,The best,1,Yes
3982,Does your job have decent hours?,They work me to the bone.,0,No
3983,Are you a fan of animation movies?,I can't stand animation.,0,No
3984,Shall I book a table at my favourite restaurant tomorrow night?,Only if I can join you.,1,Yes
3985,Do you like being out on the water?,I prefer staying dry,0,No
3986,Are you well?,I'm doing fine.,1,Yes
3987,Have you heard the latest music from Herb Alpert?,I have never listened to him.,0,No
3988,Do you go by your first name?,I've never had a nickname.,1,Yes
3989,Would you like to stay over?,I was hoping you'd ask.,1,Yes
3990,Do you prefer to read hardbacks ?,I prefer softbacks.,0,No
3991,Are you still interested in space?,I was invited to work at NASA as a contractor.,1,Yes
3992,Do you want to relax?,Let's find some hammocks.,1,Yes
3993,Are you into romantic novels?,Romance is too sappy.,0,No
3994,Have you done a book club before?,They threw me out.,1,Yes
3995,Have you watched the x factor show,I always watch that show.,1,Yes
3996,Do you want to go for a drink?,I'd love to see your local bar.,1,Yes
3997,Did you get a good performance review?,Only because I cheated.,1,Yes
3998,Are you willing to spend more than $20?,That's too much for my budget.,0,No
3999,Does the flat have an entertaiment space?,It's too small to have one.,0,No
4000,Did you attend the latest Madonna concert?,sadly I had to work,0,No
4001,Did you move out of the neighborhood?,I left for college.,1,Yes
4002,Has anything interesting happened since we were kids?,I won the lottery.,1,Yes
4003,Do you work everyday of the week?,I work Mon-Tues.,0,No
4004,Are you into country music?,I like a few songs.,1,Yes
4005,Do you play football on weekends?,"Soccer, actually.",0,No
4006,Do you want to live with a roommate?,I prefer being solo,0,No
4007,Can you drive?,Only if it's an automatic.,1,Yes
4008,Is being near public transportation a priority?,It's not a top priority.,0,No
4009,Are you interested in seeing a high school play?,If the acting is good.,1,Yes
4010,"In work, do you find yourself to be analytical?",I'm all over the board with my thoughts.,0,No
4012,Does shopping at the mall in the area appeal to you?,Only if I really want to buy something special.,1,Yes
4013,Do you need a nap?,I would like to catch some sleep before I go out.,1,Yes
4014,Are you staying at a hotel?,My air bnb is pretty swanky.,0,No
4015,Do you have management experience?,I have plenty,1,Yes
4016,Would you like to live on a bus line?,A subway stop is more important to me.,1,Yes
4017,Did you enjoy today?,I had a bad day today.,0,No
4018,Did you like the last place you lived?,I wish I never moved.,1,Yes
4019,Do you like Pizza?,Only when it has pepperoni.,1,Yes
4020,Would you like to go to a restaurant?,that would be good,1,Yes
4021,Have you taken utilities bills into consideration?,Utilities are included in my budget.,1,Yes
4022,Would you like to live near Central Park?,That would be a dream come true.,1,Yes
4023,Have you visited other friends recently?,It's hard to find time to visit people.,0,No
4024,Are you a fan of comics?,I never got into comics.,0,No
4025,Has he proposed yet?,He said he's going to when I get home.,0,No
4026,Are you an avid reader?,I'm not much of a reader at all.,0,No
4027,Do you get along with our colleagues?,I have a few friends here.,1,Yes
4028,Do you like to go hiking?,It's my favorite.,1,Yes
4029,Do you like working out?,I enjoy lifting weights.,1,Yes
4030,Does it overlook Central Park?,I can't see any part of Central Park.,0,No
4031,Do you like being responsible for others?,I do like having some responsibility.,1,Yes
4032,Do you like noodles?,Can't go wrong with pasta.,1,Yes
4033,Was the airport crowded?,It was ridiculously busy!,1,Yes
4034,Fancy a bite to eat at the Indian restaurant up the road ?,Let's do it.,1,Yes
4035,Wanna go for some Chinese food?,I'd rather have pizza.,0,No
4036,Can I buy you a drink?,"I'm really not thirsty,",0,No
4037,Do you remember the old lady that lived by the post office?,I remember she used to always yell at us to get off her lawn.,1,Yes
4038,are you outdoorsy?,I am at the park every Saturday with the hikers.,1,Yes
4039,Has your move been easy?,Moving is always exhausting.,0,No
4040,Are you going to the gym?,I went this morning.,0,No
4042,Is there a specific dish that you enjoy?,I like red curry.,1,Yes
4043,Do you prefer to eat later in the evening?,We usually eat around 9.,1,Yes
4044,Are you spending time with friends or family over the weekend?,I'm staying in at the weekend,0,No
4045,Want to go to the farmer's market with me this weekend?,Which day?,1,Yes
4046,Do you read a lot?,Only when I'm on holiday.,1,Yes
4047,Have you read any of Jodi Piccolt's books?,She's my favorite author,1,Yes
4048,Was the trip good?,It was a fast and easy flight.,1,Yes
4049,Do you enjoy country music?,It's so annoying.,0,No
4050,Do you smoke a lot?,I haven't smoked in years.,0,No
4051,Are you unhappy at your current job?,I can be sometimes,1,Yes
4052,You like spicy food?,When I have milk with it.,1,Yes
4053,Do you go to local concerts?,I try to visit local venues a couple of times a year.,1,Yes
4054,Do you want to go to the movies?,I haven't seen anything on the listings worth the money.,0,No
4055,Are you enjoying the neighborhood?,It's a nice and quiet area.,1,Yes
4056,Is your work technical?,it can be at times,1,Yes
4057,Have you heard of ACDC?,They rock!,1,Yes
4058,Are you a sushi fan?,I prefer cooked fish.,0,No
4059,Do you like soft music?,Depends who the artist is.,1,Yes
4060,Should we go downtown for dinner?,It would be better if we ordered delivery.,0,No
4061,Did you go to college near here?,I didn't get into college near here.,0,No
4062,Do you like books that have twists?,Only if they are good twists.,1,Yes
4063,Have you read the Harry Potter collection?,I haven't had the chance.,0,No
4064,Do you like spice on your food?,I can't handle too much heat.,0,No
4065,Are you going to be the boss?,I'm getting promoted into a manager role!,1,Yes
4066,Do you enjoy mysteries?,I love them,1,Yes
4067,Have you ever been to the opera?,I used to go once a month.,1,Yes
4068,Did everything go okay today?,it went better than expected,1,Yes
4069,Have you ever read a mystery novel?,I read an Agatha Christie one years ago.,1,Yes
4070,Are you up for going to the museum tomorrow?,If it isn't too expensive.,1,Yes
4071,Do you like hip hop?,some of it I do,1,Yes
4072,Have you missed me?,We had such great times before.,1,Yes
4073,Do you have a place to stay?,I'm staying at my mom's house.,1,Yes
4074,Are you married?,We got married in 2002.,1,Yes
4075,Are you interested in seeing a high school play?,High school plays don't interest me.,0,No
4076,Do you enjoy jazz?,I can't say I do,0,No
4077,Was the travel tiring?,I feel great.,0,No
4078,Can you afford to buy a flat in New York?,I think I can,1,Yes
4079,Hey do you enjoy jazz lounges?,I play in a Jazz band.,1,Yes
4080,Do you like to read about true events?,I like historically true reads.,1,Yes
4081,Have you got any plans this weekend?,I'm helping my mom with housework.,1,Yes
4082,Do you enjoy lakes and beaches?,During the hot summer months.,1,Yes
4083,Do you have a dog,I have three cats.,0,No
4084,Do you live in town?,I'm just here for a business trip.,0,No
4085,Are you in the mood for a specific type of cuisine?,I'm always down for thai.,1,Yes
4086,Are you craving any specific flavors?,I love garlic.,1,Yes
4087,Ready for the weekend?,As I'll ever be!,1,Yes
4088,Do you feel passionately about your position or your industry?,I always love the industry I work in.,1,Yes
4089,Do you have a full time job?,I work part-time.,0,No
4090,Have you tried cake pops?,I'm trying to avoid sugar.,0,No
4091,Is the flat located near your job?,I have an hour commute.,0,No
4093,are you married?,I was married at one time,0,No
4094,Are you looking for a novel?,I'm always interested in suggestions.,1,Yes
4095,Do you want a place close to home?,I don't mind travelling far if the the food is top quality.,0,No
4096,Would you ever move back to the old house?,It burned down years ago.,0,No
4097,Do you like suspense novels?,I love books where you don't know what will happen next.,1,Yes
4098,Do you like dogs?,I love dogs,1,Yes
4099,Are you from the area?,I grew up on the other coast.,0,No
4100,Is it time for breakfast?,I already had some yogurt -- it's in the fridge if you want some.,1,Yes
4101,Do you like fancy cars?,My favorite car is a rolls royce.,1,Yes
4104,Are you thinking about moving to New York permanently ?,We don't have plans to be anywhere else.,1,Yes
4105,Want to go to the beach?,I can't stand getting sand in my shoes.,0,No
4106,Are you bored in your current job?,Some days are boring,1,Yes
4107,Have you read the new Stephen King?,I'm not a fan,0,No
4108,Is your budget under $10?,"I wish I could spend more, but alas.",1,Yes
4109,Does your work keep you interested?,It's not very challenging.,0,No
4110,You have any children?,I have a few.,1,Yes
4111,Have you met your new neighbors?,No one's been home yet.,0,No
4112,Are your parents still alive?,They are very well.,1,Yes
4113,Do you use an e-reader?,I prefer real books.,0,No
4114,Do you like to read paper magazines?,I like a bit of gossip,1,Yes
4115,Did you move here with family?,We moved here when I was 25.,1,Yes
4116,Are you interesting in switching careers?,I'd switch jobs if I don;t have to go back to school.,1,Yes
4117,Have you lived in Europe?,We've only been on holidays.,0,No
4118,Are you enjoying your job?,It's time for me to move on.,0,No
4119,Have you ever been skydiving?,I'm way too scared of heights.,0,No
4120,Have you tried the new deli in our neighborhood?,I didn't know there was one.,0,No
4121,Do you need to live next to a subway station?,I probably won't take the subway.,0,No
4122,Would you start a band?,Perhaps in another life.,0,No
4123,Are you busy Saturday?,I think I might be,1,Yes
4124,Do you like hip/hop music?,I love hip hop.,1,Yes
4125,Have you started driving?,I'm finally have my license.,1,Yes
4126,Do you like karaoke?,It's so fun.,1,Yes
4127,Are you looking for books that pull you in right away?,they are the best sort,1,Yes
4128,Want to get fast food?,I'm not hungry.,0,No
4129,Is your family doing well?,We are all really contented at the moment.,1,Yes
4130,You living alone?,I have a roommate.,0,No
4131,Would you like to go out to eat?,I have plans already.,0,No
4133,Do you like crowds?,"If there's a crowd, I won't go.",0,No
4135,Are you into pop?,I prefer rock.,0,No
4136,Do your family still live here?,I'm alone here.,0,No
4137,Did you have a nice drive here?,It wasn't unpleasant.,1,Yes
4138,Are you worried about the cost?,I have plenty of spare cash to cover me.,0,No
4140,Do you want to eat at chain restaurant?,Let's go to a mom and pop instead.,0,No
4141,Are you happy with the flat?,It's absolutely beautiful.,1,Yes
