context,utterance,implicature
Do you hate crowds?,Crowds make me nervous.,1
Are you making more than 80 thousand dollars a year?,"I am up to 90,000.",1
Have you ever heard merengue music?,I haven't heard of it.,0
Did you have a good day?,Today was the worst.,0
Does your house have a swimming pool?,I wish!,0
Do you have a lift home?,I brought my car to work today.,1
Have you considered getting a roommate so you can get something bigger?,I can afford something large on my own.,0
Are you going to the club this weekend?,I'm not planning to,0
Shall we going shopping?,I need to go to sleep right now.,0
Did you used to live in my old neighborhood?,I did.,1
Do you want fast food?,that would be handy,1
Are you working nearby?,Quite close,1
Have you read any Stephen King novels?,I have read the Talisman.,1
Is this going to be full-time?,I'm cutting back on my hours to part-time.,0
Do y,"ones for your work?"",""I don't answer directly - incoming calls go through my secretary.",0
Do you still live at the same neighborhood?,"I live closeby, but in a different neighborhood.",0
Are you a fan of electronic music?,It depends where it's from.,1
Have you seen the nutcracker yet?,I saw it last week.,1
Do  you still live in Elm St?,We sold that house.,0
Are you engaged?,Engaged in eating all the time!,0
Will you be visiting any friends or family?,I have an Aunt uptown.,1
Do you like burger places?,Burger places are a favorite of mine,1
Are you allergic to cats?,They make me sneeze like crazy.,1
Have you ever read Neil Gaiman?,I really enjoyed American Gods.,1
Is this a fun neighbourhood?,There are lots of entertainment options here.,1
Do you want to live in a quiet neighborhood?,I enjoy being in the action.,0
Do you want to grab some food?,I'd love to eat some Asian food.,1
Are you ever going back to school?,I'll never go back to that school.,0
Are you in a band now?,I haven't played since I moved.,0
Did it take you long to get here?,I've been travelling 24 hours.,1
Have you tried the new deli in our neighborhood?,I was in it this week,1
Do you need to get some rest?,I could do with a nap,1
Do you want to be outside?,I'm content to be indoors.,0
Do you mind staying out late?,I'm a night owl on the weekends.,0
Do you want me to give you a lift home?,I can walk but thank you.,0
Is everything good with you?,Everything is just great.,1
Would you like to go shopping together this Saturday?,If we can go to the mall.,1
Do you like suspense novels?,I do like some suspense novels.,1
Is price a deal breaker?,"I may be able to negotiate, so it's not a deal breaker.",0
Would you like one in the city or a bit outside?,I'm open to location.,1
Are you a fan of nonfiction?,I prefer fiction,0
Do you like to go out to eat?,Sushi is better at restaurants.,1
Are you planning any trips this year?,We have tickets to Disneyland.,1
Do you eat breakfast food for lunch or dinner?,Not very often,0
Do you want to get something to eat?,I'm not hungry.,0
Do you own a car?,I have a Honda Civic.,1
Have you been feeling well?,I've had a cold.,0
Did you like your new neighbors?,They seem nice so far,1
Do you have a specific go-to genre of music you like to listen to?,I always choose '80s tunes first.,1
Have you lived here long?,I've been here my whole life.,1
Are you heading home?,I can't get out of here fast enough.,1
Have you seen the new Frozen movie?,It's really cute.,1
Are you allergic to anything?,I don't think so,0
How about a game of cards?,I'm up for poker.,1
Do you still live at the same neighborhood?,I moved from it a year back,0
Want to go see a local tribute band?,Let's do it.,1
Do you still live with your parents?,I live in their basement.,1
Do you like salads?,If they are made with romaine.,1
Would you drive 30 minutes to work?,if I had to I would,1
Do you like humor?,Laughing is a lot of fun.,1
Want to go out on Saturday night for a meal ?,Sunday would work better for me.,0
Are you very busy these days?,I don't seem to have a spare minute at the moment.,1
Do you have a ride home?,I'm planning on walking.,0
Did you finish your big project?,Almost!,0
Do you enjoy burgers and fries?,it is very tasty,1
You like spicy food?,Spicy food is my favourite.,1
Would you be happy with working on weekends?,I'd rather not give up my weekends.,0
Do you already have a mortgage arranged?,I'm paying all cash.,0
Do you like rice?,Rice is a great filler.,1
Does it have anything to do with food?,It is animal care.,0
Do you like spicy/hot food?,I prefer milder,0
Do you want to meet for dinner?,How about tomorrow?,1
Do you enjoy sci-fi books?,I prefer fantasy.,0
Want to get together this weekend?,That would be fun,1
"I have a great collection of books, want to borrow any of them?",I'll read a few of them,1
Have you read the Harry Potter books?,I'm not a fan of him,0
Would you like to see the gig at the town hall next week?,I am hoping to go.,1
Hey since the weather has gotten colder did you want to grab some potato soup?,Depends on what else is in the soup.,1
Was the travel tiring?,It was exciting,0
Do you like heavy metal?,I don't listen to that.,0
Want me to introduce you to some of the neighbours?,An introduction would be nice.,1
Have you read any biographies lately?,I hate biographies.,0
Do you want to eat tacos?,I love tacos.,1
Have you liked living in your house ?,We are pretty comfortable.,1
Have you learned how to play an instrument?,Not since I was young,0
Have you had pizza recently,I eat it every Friday!,1
You finish school?,I dropped out.,0
Do you have a favorite restaurant?,I've been to Canlis so many times but never get sick of it.,1
Can we exchange numbers?,Let me text you.,1
Do you need help in knowing the neighbourhood?,That would be good,1
Are you planning on moving there soon?,It would probably be next year.,1
Did you just make this decision?,It just dawned on me.,1
Do you want to learn to dance samba?,I'm too busy for classes,0
Are you planning on living here for a long time?,"I purchased this home, so I hope so.",1
Can you eat any type of food?,Most types I can,1
Do you like to dance to music?,I forget anyone is watching and go for it when I hear a good song.,1
Do you listen to the radio?,My favorite station is KPLU.,1
Do you enjoy working in an office?,I'd rather work in any other environment.,0
Do you like reading graphic novels?,I never read them.,0
Do you play sports?,I haven't been very physically active since high school.,0
Can you open the door for me?,My hands are full.,0
Have you ever been to the fair?,I went last fall.,1
Do you work full time,I'm a freelancer.,0
Are you planning to drink?,I'm sober.,0
Are you interested in fishing this weekend?,Let's take a rain check.,0
Do you like ice cream?,Depends on the flavor.,1
Does it have two bedrooms?,There are three bedrooms,0
Do you like alcohol or wine with dinner?,I prefer wine,1
Would you like to check out some bars tonight?,I prefer dance clubs.,0
Would you have to work weekends?,I think to start.,1
Would you like pizza tonight?,I already had a lot of bread at lunch.,0
Have you been living here?,I'm here part time.,1
Do you mind living in a noisy area?,I like city noises.,0
Did you work in tech?,I worked in IT.,1
Do you like your colleagues?,I have a great team.,1
Do you like to go to high-end place?,I usually go to a casual place.,0
Have you lived in a flat before?,I have always lived in houses,0
Does your family like skiing?,My brother's a ski bum!,1
Are you into watching Seahawks games?,"I'm not a fan of the Seahawks,",0
Have you read Harry Potter?,I haven't read any of the books,0
Does sushi fill you up?,If I order a lot of it.,1
Did you come here by car?,I took a train.,0
Have you told anyone else what you're thinking?,You are the only person I've told so far.,0
Are you a fan of series?,I cannot commit to reading an entire book series.,0
do you like adventure?,As long as it's not dangerous.,1
You living alone?,I am right now,1
Are you into any sci-fi movies?,Blade Runner is my favorite film.,1
Are things okay?,My life is great!,1
Do you want to go to the movies?,I'm saving my cash.,0
Do you have a job you enjoy?,My job fulfills me.,1
Is Spotify on your phone?,I prefer Apple Music.,0
Have you seen any live bands lately?,I haven't been to a show in ages.,0
Is your mom doing OK?,she is doing great,1
Do you like reading self help books?,I mostly read fantasy novels,0
Are you going to get a roommate?,No I like living alone.,0
Did you came alone?,I did this time,1
Did you like the Harry Potter series?,I am not a fan of the Hogwarts stories.,0
Are you headed home?,I need to hit up the bank first.,1
Are you a sports fan?,some sports I am a fan of,1
Are you a music fan?,I love all types of music.,1
Will you be seeing your family this weekend?,It's my mom's birthday and we've planned a party.,1
Are you allergic to garlic?,I love garlic,0
Are you in to sports?,I like to play tennis.,1
Have you missed me?,I wish you lived near me!,1
Have you got any plans tonight?,I'm heading out of town.,1
Have you ever read Dean Koontz?,I think we had to read him in college.,1
Do you want to listen to screamo?,I'd love to hear it.,1
Does it overlook Central Park?,It has a great view of Central Park.,1
